,Date,Cases,Deaths,Recovered,Travel_history,Province,City
890,4/21/2020,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Charsadda
891,4/21/2020,1,0,9,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
892,4/21/2020,1,0,4,Local - Social Contact,Federal Administration Tribal Area,Khyber
893,4/21/2020,8,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
894,4/21/2020,0,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Swabi
895,4/21/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
896,4/21/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
897,4/21/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
898,4/21/2020,11,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Malakand
899,4/21/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
900,4/21/2020,5,0,0,Local - Social Contact,Federal Administration Tribal Area,Kurrum
901,4/21/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Lakki Marwat
902,4/21/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,North Waziristan
903,4/21/2020,0,2,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
904,4/21/2020,286,5,30,Local - Social Contact,Sindh,Karachi
905,4/21/2020,217,9,39,Unknown,Punjab,Lahore
906,4/21/2020,4,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
907,4/21/2020,1,0,0,Local - Social Contact,Azad Jummu Kashmir,Muzaffarabad
908,4/21/2020,2,0,3,Local - Social Contact,Gilgit-Baltistan,Gilgit
909,4/21/2020,31,0,0,Local - Social Contact,Baluchistan,Quetta
910,4/22/2020,9,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
911,4/22/2020,262,7,0,Unknown,Punjab,Lahore
912,4/22/2020,2,0,5,Local - Social Contact,Sindh,Larkana
913,4/22/2020,78,0,0,Tableeghi Jamaat,Sindh,Khairpur
